id,title,authors,year,venue,topic,url
morgan1963aid,"Problems in the analysis of survey data, and a proposal",James N. Morgan and John A. Sonquist,1963,Journal of the American Statistical Association,classical,https://doi.org/10.1080/01621459.1963.10500855
hunt1966experiments,Experiments in Induction,"Earl B. Hunt, Janet Marin, and Philip J. Stone",1966,Academic Press,classical,https://archive.org/details/experimentsinind0000hunt
hyafil1976npcomplete,Constructing optimal binary decision trees is NP-complete,Laurent Hyafil and Ronald L. Rivest,1976,Information Processing Letters,theory,https://doi.org/10.1016/0020-0190(76)90017-1
quinlan1979discovering,Discovering rules by induction from large collections of examples,J. Ross Quinlan,1979,Expert Systems in the Micro Electronic Age,classical,https://apps.dtic.mil/sti/citations/ADA078885
kass1980chaid,An Exploratory Technique for Investigating Large Quantities of Categorical Data,Gordon V. Kass,1980,Applied Statistics,classical,https://doi.org/10.2307/2986296
breiman1984cart,Classification and Regression Trees,"Leo Breiman, Jerome H. Friedman, Richard A. Olshen, and Charles J. Stone",1984,Wadsworth,classical,https://doi.org/10.1201/9781315139470
quinlan1986id3,Induction of Decision Trees,J. Ross Quinlan,1986,Machine Learning,classical,https://doi.org/10.1007/BF00116251
quinlan1987simplifying,Simplifying decision trees,J. Ross Quinlan,1987,International Journal of Man-Machine Studies,classical,https://doi.org/10.1016/S0020-7373(87)80053-6
quinlan1989mdl,Inferring decision trees using the minimum description length principle,J. Ross Quinlan and Ronald L. Rivest,1989,Information and Computation,classical,https://doi.org/10.1016/0890-5401(89)90010-2
mingers1989empirical,An empirical comparison of pruning methods for decision tree induction,John Mingers,1989,Machine Learning,pruning,https://doi.org/10.1023/A:1022604100933
blumer1989learnability,Learnability and the Vapnik-Chervonenkis dimension,"Anselm Blumer, Andrzej Ehrenfeucht, David Haussler, and Manfred K. Warmuth",1989,Journal of the ACM,theory,https://doi.org/10.1145/76359.76371
schapire1990strength,The strength of weak learnability,Robert E. Schapire,1990,Machine Learning,boosting,https://doi.org/10.1007/BF00116037
quinlan1992m5,Learning with continuous classes,J. Ross Quinlan,1992,AI 92,regression-tree,https://www.researchgate.net/publication/2399182_Learning_with_Continuous_Classes
quinlan1993c45,C4.5: Programs for Machine Learning,J. Ross Quinlan,1993,Morgan Kaufmann,classical,https://archive.org/details/c45programsforma0000quin
murthy1994oc1,A system for induction of oblique decision trees,"Sreerama K. Murthy, Simon Kasif, and Steven Salzberg",1994,Journal of Artificial Intelligence Research,classical,https://doi.org/10.1613/jair.63
breiman1996bias,Technical note: Some properties of splitting criteria,Leo Breiman,1996,Machine Learning,classical,https://doi.org/10.1023/A:1018054023596
quinlan1996continuous,Improved Use of Continuous Attributes in C4.5,J. Ross Quinlan,1996,Journal of Artificial Intelligence Research,classical,https://arxiv.org/abs/cs/9603103
breiman1996arcing,Arcing classifiers,Leo Breiman,1996,The Annals of Statistics,ensemble,https://doi.org/10.1214/aos/1031594726
breiman1996bagging,Bagging predictors,Leo Breiman,1996,Machine Learning,ensemble,https://doi.org/10.1007/BF00058655
mehta1996sliq,SLIQ: A Fast Scalable Classifier for Data Mining,"Manish Mehta, Rakesh Agrawal, and Jorma Rissanen",1996,EDBT,scalable-tree,https://dl.acm.org/doi/10.5555/645337.650382
milosavljevic1996tree,Discovering Decision Trees in a Distributed Environment,Aleksandar Milosavljevic,1996,KDD,scalable-tree,https://dl.acm.org/doi/10.5555/3001460.3001497
shafer1996sprint,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, and Manish Mehta",1996,VLDB,scalable-tree,https://www.vldb.org/conf/1996/P544.PDF
freund1997adaboost,A decision-theoretic generalization of on-line learning and an application to boosting,Yoav Freund and Robert E. Schapire,1997,Journal of Computer and System Sciences,boosting,https://doi.org/10.1006/jcss.1997.1504
loh1997quest,Split selection methods for classification trees,Wei-Yin Loh and Yu-Shan Shih,1997,Statistica Sinica,classical,https://www3.stat.sinica.edu.tw/statistica/J7N4/J7N41/J7N41.htm
therneau1997survivaltrees,An Introduction to Recursive Partitioning Using the RPART Routines,Terry M. Therneau and Elizabeth J. Atkinson,1997,Mayo Clinic Technical Report,classical,https://cran.r-project.org/web/packages/rpart/vignettes/longintro.pdf
esposito1997surveypruning,A comparative analysis of methods for pruning decision trees,"Floriana Esposito, Donato Malerba, and Giovanni Semeraro",1997,IEEE Transactions on Pattern Analysis and Machine Intelligence,pruning,https://doi.org/10.1109/34.589207
mansour1997pessimistic,Pessimistic decision tree pruning based on tree size,Yishay Mansour,1997,ICML,pruning,https://dl.acm.org/doi/10.5555/645526.657136
wang1997m5prime,Inducing Model Trees for Continuous Classes,Yong Wang and Ian H. Witten,1997,Poster Papers of ECML 1997,regression-tree,https://hdl.handle.net/10289/1183
chipman1998bayesiancart,Bayesian CART model search,"Hugh A. Chipman, Edward I. George, and Robert E. McCulloch",1998,Journal of the American Statistical Association,bayesian-tree,https://doi.org/10.1080/01621459.1998.10473750
gehrke1998rainforest,RainForest: A Framework for Fast Decision Tree Construction of Large Datasets,"Johannes Gehrke, Raghu Ramakrishnan, and Venkatesh Ganti",1998,VLDB,scalable-tree,https://www.vldb.org/conf/1998/p416.pdf
rastogi1998public,PUBLIC: A Decision Tree Classifier that Integrates Building and Pruning,Rajeev Rastogi and Kyuseok Shim,1998,VLDB,scalable-tree,https://www.vldb.org/conf/1998/p404.pdf
mason1999gradientboost,Boosting algorithms as gradient descent,"Llew Mason, Jonathan Baxter, Peter Bartlett, and Marcus Frean",1999,NeurIPS,boosting,https://papers.nips.cc/paper/1999/hash/96a93ba89a5b5c6c226e49b88973f46e-Abstract.html
bauer1999empirical,"An empirical comparison of voting classification algorithms: Bagging, boosting, and variants",Eric Bauer and Ron Kohavi,1999,Machine Learning,ensemble,https://doi.org/10.1023/A:1007515423169
gehrke1999boat,BOAT: Optimistic Decision Tree Construction,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan, and Wei-Yin Loh",1999,SIGMOD,scalable-tree,https://doi.org/10.1145/304182.304212
kearns1999boostingtrees,On the Boosting Ability of Top-Down Decision Tree Learning Algorithms,Michael Kearns and Yishay Mansour,1999,Journal of Computer and System Sciences,theory,https://doi.org/10.1006/jcss.1999.1612
lim2000comparison,"A comparison of prediction accuracy, complexity, and training time of thirty-three old and new classification algorithms","Tjen-Sien Lim, Wei-Yin Loh, and Yu-Shan Shih",2000,Machine Learning,benchmark,https://doi.org/10.1023/A:1007608224229
domingos2000vfdt,Mining high-speed data streams,Pedro Domingos and Geoff Hulten,2000,KDD,streaming-tree,https://doi.org/10.1145/347090.347107
dietterich2000ensemble,Ensemble methods in machine learning,Thomas G. Dietterich,2000,Multiple Classifier Systems,survey,https://doi.org/10.1007/3-540-45014-9_1
friedman2001gbm,Greedy function approximation: A gradient boosting machine,Jerome H. Friedman,2001,The Annals of Statistics,boosting,https://doi.org/10.1214/aos/1013203451
breiman2001randomforests,Random Forests,Leo Breiman,2001,Machine Learning,ensemble,https://doi.org/10.1023/A:1010933404324
breiman2001twocultures,Statistical Modeling: The Two Cultures,Leo Breiman,2001,Statistical Science,interpretability,https://doi.org/10.1214/ss/1009213726
hulten2001cva,Mining time-changing data streams,"Geoff Hulten, Laurie Spencer, and Pedro Domingos",2001,KDD,streaming-tree,https://doi.org/10.1145/502512.502529
friedman2002stochastic,Stochastic gradient boosting,Jerome H. Friedman,2002,Computational Statistics & Data Analysis,boosting,https://doi.org/10.1016/S0167-9473(01)00065-2
loh2002guide,Regression trees with unbiased variable selection and interaction detection,Wei-Yin Loh,2002,Statistica Sinica,classical,https://www3.stat.sinica.edu.tw/statistica/j12n2/j12n24/j12n24.htm
liaw2002randomforest,Classification and Regression by randomForest,Andy Liaw and Matthew Wiener,2002,R News,ensemble,https://journal.r-project.org/articles/RN-2002-022/
landwehr2005lmt,Logistic Model Trees,"Niels Landwehr, Mark Hall, and Eibe Frank",2005,Machine Learning,classical,https://doi.org/10.1007/s10994-005-0466-3
hothorn2006ctree,Unbiased recursive partitioning: A conditional inference framework,"Torsten Hothorn, Kurt Hornik, and Achim Zeileis",2006,Journal of Computational and Graphical Statistics,classical,https://doi.org/10.1198/106186006X133933
geurts2006extratrees,Extremely randomized trees,"Pierre Geurts, Damien Ernst, and Louis Wehenkel",2006,Machine Learning,ensemble,https://doi.org/10.1007/s10994-006-6226-1
rodriguez2006rotation,Rotation Forest: A New Classifier Ensemble Method,"Juan J. Rodriguez, Ludmila I. Kuncheva, and Carlos J. Alonso",2006,IEEE Transactions on Pattern Analysis and Machine Intelligence,ensemble,https://doi.org/10.1109/TPAMI.2006.211
meinshausen2006quantile,Quantile Regression Forests,Nicolai Meinshausen,2006,Journal of Machine Learning Research,specialized-forest,https://jmlr.org/papers/v7/meinshausen06a.html
shi2007bestfirst,Best-first decision tree learning,Haijian Shi,2007,University of Waikato Technical Report,boosting,https://hdl.handle.net/10289/2317
bifet2007adwin,Learning from time-changing data with adaptive windowing,Albert Bifet and Ricard Gavalda,2007,SIAM International Conference on Data Mining,streaming-tree,https://doi.org/10.1137/1.9781611972771.42
liu2008isolation,Isolation Forest,"Fei Tony Liu, Kai Ming Ting, and Zhi-Hua Zhou",2008,ICDM,anomaly,https://doi.org/10.1109/ICDM.2008.17
zeileis2008partykit,Model-based recursive partitioning,"Achim Zeileis, Torsten Hothorn, and Kurt Hornik",2008,Journal of Computational and Graphical Statistics,classical,https://doi.org/10.1198/106186008X319331
ishwaran2008rsf,Random Survival Forests,"Hemant Ishwaran, Udaya B. Kogalur, Eugene H. Blackstone, and Michael S. Lauer",2008,The Annals of Applied Statistics,specialized-forest,https://doi.org/10.1214/08-AOAS169
saffari2009onlineforests,Online random forests,"Amir Saffari, Christian Leistner, Jakob Santner, Martin Godec, and Horst Bischof",2009,ICCV Workshops,streaming-tree,https://doi.org/10.1109/ICCVW.2009.5457447
chipman2010bart,BART: Bayesian additive regression trees,"Hugh A. Chipman, Edward I. George, and Robert E. McCulloch",2010,The Annals of Applied Statistics,bayesian-tree,https://doi.org/10.1214/09-AOAS285
bifet2010leveraging,Leveraging Bagging for Evolving Data Streams,"Albert Bifet, Geoffrey Holmes, and Bernhard Pfahringer",2010,ECML PKDD,streaming-tree,https://doi.org/10.1007/978-3-642-15880-3_3
rokach2010ensemble,Ensemble-based classifiers,Lior Rokach,2010,Artificial Intelligence Review,survey,https://doi.org/10.1007/s10462-009-9124-7
tyree2011parallel,Parallel boosted regression trees for web search ranking,"Stephen Tyree, Kilian Q. Weinberger, Kunal Agrawal, and Jennifer Paykin",2011,WWW,boosting,https://doi.org/10.1145/1963405.1963487
ikonomovska2011modeltrees,Learning model trees from evolving data streams,"Elena Ikonomovska, Joao Gama, and Saso Dzeroski",2011,Data Mining and Knowledge Discovery,streaming-tree,https://doi.org/10.1007/s10618-010-0201-y
liu2012isolation,Isolation-based anomaly detection,"Fei Tony Liu, Kai Ming Ting, and Zhi-Hua Zhou",2012,ACM Transactions on Knowledge Discovery from Data,anomaly,https://doi.org/10.1145/2133360.2133363
green2012bart,Modeling heterogeneous treatment effects in survey experiments with Bayesian additive regression trees,Donald P. Green and Holger L. Kern,2012,Public Opinion Quarterly,bayesian-tree,https://doi.org/10.1093/poq/nfs036
cutler2012randomforests,Random Forests for Classification in Ecology,"D. Richard Cutler, Thomas C. Edwards Jr., Karen H. Beard, Adele Cutler, Kyle T. Hess, Jacob Gibson, and Joshua J. Lawler",2012,Ecology,ensemble,https://doi.org/10.1890/07-0539.1
